kol_username,month_start,year_start,month_end,year_end,total_posts_pr,total_posts_nonpr,unique_music_pr,unique_music_nonpr,ttSeller,commerceUser,emoji_count_pr,emoji_count_nonpr,hashtag_count_pr,hashtag_count_nonpr,word_count_no_emoji_hashtag_pr,word_count_no_emoji_hashtag_nonpr,early_morning_pr,pr_ratio_early_morning,early_morning_nonpr,morning_pr,pr_ratio_morning,morning_nonpr,afternoon_pr,pr_ratio_afternoon,afternoon_nonpr,evening_pr,pr_ratio_evening,evening_nonpr,late_night_pr,pr_ratio_late_night,late_night_nonpr,is_weekend_pr,pr_ratio_weekend,is_weekend_nonpr,is_trending_pr,pr_ratio_trending,is_trending_nonpr,duration_pr,duration_nonpr,diggCount_pr,diggCount_nonpr,shareCount_pr,shareCount_nonpr,collectCount_pr,collectCount_nonpr,commentCount_pr,commentCount_nonpr,playCount_pr,playCount_nonpr,isSlideshow_pr,pr_ratio_slideshow,isSlideshow_nonpr,isSponsored_pr,pr_ratio_sponsored,isSponsored_nonpr,e_outlier_pr,pr_ratio_e_outlier,e_outlier_nonpr,follower_change_in_input_window,pr_engagement_rate_input,pr_post_ratio,female_percent,vietnam_follower,EngagementRateOnPRPost_target
vithanhle308,4,2024,9,2024,6,64,6,64,False,False,13,77,13,135,219,1299,0,0.0,1,4,0.6666666666666666,22,1,0.1666666666666666,28,1,0.1666666666666666,12,0,0.0,1,1,0.1666666666666666,20,1,0.1666666666666666,9,287,3371,27230,3637386,813,88538,2964,502563,779,20294,1120900,44016000,0,0.0,6,0,0.0,0,1,0.1666666666666666,5,122550.0,0.0283575698099741,0.0857142857142857,83.0,86%,0.0166581364369347
vithanhle308,5,2024,10,2024,6,67,6,66,False,False,14,85,15,163,232,1440,0,0.0,0,3,0.5,25,2,0.3333333333333333,32,1,0.1666666666666666,9,0,0.0,1,1,0.1666666666666666,19,1,0.1666666666666666,8,275,3395,30013,3586312,1021,97205,3877,511166,874,19873,1179300,46622900,0,0.0,4,0,0.0,0,1,0.1666666666666666,6,122066.66666666669,0.030344272025778,0.0821917808219178,83.0,86%,0.0062317719840919
hwitch99,1,2024,6,2024,3,43,3,40,False,False,2,53,19,267,36,566,0,0.0,1,0,0.0,1,3,1.0,16,0,0.0,22,0,0.0,3,1,0.3333333333333333,11,1,0.3333333333333333,14,313,3200,13973,111775,296,536,601,3827,133,653,1583900,2164700,0,0.0,1,0,0.0,0,0,0.0,4,1650.0,0.0094721889008144,0.0652173913043478,70.0,93%,0.0194408352668213
hwitch99,2,2024,7,2024,2,37,2,35,False,False,1,47,13,237,17,533,0,0.0,0,0,0.0,1,2,1.0,13,0,0.0,22,0,0.0,1,1,0.5,8,1,0.5,13,236,2777,11846,97357,278,527,584,2974,65,539,1142200,1901500,0,0.0,0,0,0.0,0,0,0.0,3,1825.0,0.0111828051129399,0.0512820512820512,70.0,93%,0.0164965517241379
hwitch99,3,2024,8,2024,2,35,2,33,False,False,2,42,19,230,20,571,0,0.0,0,0,0.0,0,1,0.5,15,1,0.5,18,0,0.0,2,1,0.5,9,2,1.0,7,206,2845,14668,108273,282,1193,640,3571,65,497,1027900,2002400,0,0.0,0,0,0.0,0,0,0.0,1,1900.0,0.0152300807471543,0.054054054054054,70.0,93%,0.019986209432748
hwitch99,4,2024,9,2024,2,37,2,32,False,False,1,43,16,236,23,598,0,0.0,0,0,0.0,0,0,0.0,15,2,1.0,20,0,0.0,2,0,0.0,9,1,0.5,7,130,3043,3785,102228,28,1167,112,3347,12,482,47900,1967073,0,0.0,0,0,0.0,0,0,0.0,5,1875.0,0.0821920668058455,0.0512820512820512,70.0,93%,0.025992260917634
hwitch99,5,2024,10,2024,4,33,4,28,False,False,1,38,32,204,55,532,0,0.0,0,0,0.0,1,0,0.0,13,4,1.0,18,0,0.0,1,1,0.25,7,1,0.25,7,257,2709,7819,94562,75,1084,423,2811,62,443,431000,1562273,0,0.0,0,0,0.0,0,0,0.0,3,1650.0,0.0194408352668213,0.1081081081081081,70.0,93%,0.0239337863235506
hwitch99,6,2024,11,2024,5,38,4,35,False,False,2,45,38,227,61,617,0,0.0,0,0,0.0,1,0,0.0,15,5,1.0,20,0,0.0,2,1,0.2,9,1,0.2,8,340,2726,9993,106317,84,1135,486,2911,69,496,462900,1949573,0,0.0,1,0,0.0,0,0,0.0,3,1650.0,0.0229682436811406,0.1162790697674418,70.0,93%,0.0135778994054921
hwitch99,7,2024,12,2024,8,44,7,37,False,False,5,58,58,259,98,753,0,0.0,0,0,0.0,2,0,0.0,17,8,1.0,22,0,0.0,3,2,0.25,13,1,0.125,9,528,2882,23901,133620,215,2166,1367,3943,193,840,1135600,3081773,0,0.0,1,0,0.0,0,1,0.125,5,1650.0,0.0226100739697076,0.1538461538461538,70.0,93%,0.0134966518909742
hwitch99,8,2024,1,2025,9,63,7,47,False,False,6,83,64,358,110,1008,0,0.0,1,0,0.0,2,0,0.0,29,9,1.0,27,0,0.0,4,2,0.2222222222222222,17,1,0.1111111111111111,14,603,3793,25335,788388,219,12103,1426,24561,207,5570,1154600,28925773,0,0.0,1,0,0.0,0,1,0.1111111111111111,9,1650.0,0.0235466828338818,0.125,70.0,93%,0.0131834507528664
khietnhinhi,1,2024,6,2024,38,169,30,137,False,False,23,119,328,1498,451,2448,0,0.0,0,6,0.1578947368421052,29,11,0.2894736842105263,58,19,0.5,67,2,0.0526315789473684,15,10,0.2631578947368421,49,10,0.2631578947368421,36,1864,7653,72803,769605,5307,33804,9850,116449,3639,11482,14675000,21363272,0,0.0,9,0,0.0,0,5,0.131578947368421,21,16477.0,0.0062418398637137,0.1835748792270531,,,0.0166375022472583
